study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJEB39343	SAMEA7068355	ERX4296984	ERR4352445	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/005/ERR4352445/ERR4352445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/005/ERR4352445/ERR4352445_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352445/D2-HFESiMBNL_1_S10_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352445/D2-HFESiMBNL_1_S10_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/005/ERR4352445	HFE145siMBNL1_1
PRJEB39343	SAMEA7068356	ERX4296985	ERR4352446	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/006/ERR4352446/ERR4352446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/006/ERR4352446/ERR4352446_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352446/D3-HFESiMBNL_2_S11_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352446/D3-HFESiMBNL_2_S11_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/006/ERR4352446	HFE145siMBNL1_2
PRJEB39343	SAMEA7068357	ERX4296986	ERR4352447	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/007/ERR4352447/ERR4352447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/007/ERR4352447/ERR4352447_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352447/D9_HFE_siMBNL1_3_S5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352447/D9_HFE_siMBNL1_3_S5_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/007/ERR4352447	HFE145siMBNL1_3
PRJEB39343	SAMEA7068358	ERX4296987	ERR4352448	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/008/ERR4352448/ERR4352448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/008/ERR4352448/ERR4352448_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352448/D1-HFESiNeg_S9_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352448/D1-HFESiNeg_S9_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/008/ERR4352448	HFE145siNeg_1
PRJEB39343	SAMEA7068359	ERX4296988	ERR4352449	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/009/ERR4352449/ERR4352449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/009/ERR4352449/ERR4352449_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352449/D4-HFE_siNeg1_trep_1_S22_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352449/D4-HFE_siNeg1_trep_1_S22_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/009/ERR4352449	HFE145siNeg_1_trep1
PRJEB39343	SAMEA7068360	ERX4296989	ERR4352450	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/000/ERR4352450/ERR4352450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/000/ERR4352450/ERR4352450_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352450/D5-HFE_siNeg1_trep2__S23_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352450/D5-HFE_siNeg1_trep2__S23_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/000/ERR4352450	HFE145siNeg_1_trep2
PRJEB39343	SAMEA7068349	ERX4296990	ERR4352451	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/001/ERR4352451/ERR4352451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/001/ERR4352451/ERR4352451_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352451/D4-AGSSiNeg_S12_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352451/D4-AGSSiNeg_S12_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/001/ERR4352451	AGSsiNeg_1
PRJEB39343	SAMEA7068350	ERX4296991	ERR4352452	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/002/ERR4352452/ERR4352452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/002/ERR4352452/ERR4352452_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352452/D1-AGS_siNeg_trep_1_S19_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352452/D1-AGS_siNeg_trep_1_S19_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/002/ERR4352452	AGSsiNeg_1_trep1
PRJEB39343	SAMEA7068351	ERX4296992	ERR4352453	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/003/ERR4352453/ERR4352453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/003/ERR4352453/ERR4352453_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352453/D3-AGS_siNeg1_trep_2_S21_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352453/D3-AGS_siNeg1_trep_2_S21_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/003/ERR4352453	AGSsiNeg_1_trep2
PRJEB39343	SAMEA7068352	ERX4296993	ERR4352454	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/004/ERR4352454/ERR4352454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/004/ERR4352454/ERR4352454_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352454/D5-AGSSiPTBP1_2_S13_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR435/ERR4352454/D5-AGSSiPTBP1_2_S13_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR435/004/ERR4352454	AGSsiPTBP1_2
