,morphology,tissue,disease,extra_info
HeLa,epithelial,Uterus_Cervix,Adenocarcinoma,https://www.atcc.org/products/ccl-2
HEK293T,epithelial,Kidney_embryo,,"Embryo, https://www.atcc.org/products/crl-3216"
HEK293,epithelial,Kidney_embryo,,"Embryo, https://www.atcc.org/products/crl-1573"
Brain,,Brain,,
K562,lymphoblast,Myeloid,Chronic_Myelogenous_Leukemia,"https://www.atcc.org/products/ccl-243#:~:text=K%2D562%20are%20lymphoblast%20cells,system%20disorder%20and%20immunology%20research.&text=Discounts%20may%20be%20available%20for%20our%20fellow%20nonprofit%20organizations"
HEK_293_FRT,epithelial,Kidney_embryo,,"Embryo, T antigen, which refers to the large T-antigen of the simian virus 40 (SV40) that is expressed in these cells"
HepG2,epithelial,Liver_HepG2,,
TREX_FLP-In_293T_cells,,Kidney_embryo,,Embryo
T_cell,,T_cell,,
HEK293T_no_SRRM4,,Kidney_embryo,,"Embryo, a variant or subclone of the HEK293T cell line that has been genetically modified to knock down or remove the expression of the SRRM4 gene (protein involved in splicing of RNA)"
MGG8,,Brain_gliobastoma,Glioblastoma,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1324083
Huh7,epithelial,Liver_huh7,Hepatocellular_Carcinoma,"https://huh7.com/#:~:text=Huh%2D7%20is%20an%20immortal,typically%20grow%20as%202D%20monolayers"
Cardiac,,myocardium,,
HEK293T_plus_SRRM4,epithelial,Kidney_embryo,,"Embryo, Overexpression or increased expression of SRRM4 can have various effects on cellular processes and gene expression, depending on the specific context"
SH-SY5Y,epithelial,Bone_Marrow,Neuroblastoma,https://www.atcc.org/products/crl-2266
22RV1,epithelial,Prostate_carcinoma,Carcinoma,https://www.atcc.org/products/crl-2505
HME,epithelial,Breast,,
adrenal gland,,adrenal_gland,,
HeLa_treated_with_puromycoin,epithelial,Uterus_Cervix,Adenocarcinoma,
T98G,fibroblast,Brain_gliobastoma,Glioblastoma_Multiforme,https://www.atcc.org/products/crl-1690
PC3,epithelial,Prostate_adenocarcinoma,Adenocarcinoma,"Grade IV, https://www.atcc.org/products/crl-1435"
SK-MEL-103,,Skin,Malignant_Melanoma,
MDA-LM2,epithelial,Breast_adenocarcinoma,Adenocarcinoma,Mammary gland
LAPC4,,Prostate_carcinoma,Carcinoma,
HK-2,,Kidney_papilloma,Papilloma,Cortex; Proximal tubule
DU145,epithelial,Prostate_carcinoma,Carcinoma,https://www.atcc.org/products/htb-81
LNCaP,,Prostate_carcinoma,Carcinoma,
Cortical,,Cortical,,
H9,,Blastocyst_Embryo,,
frontalcortex,,Brain,,
Panc1,,Pancreas_epith_carcinoma,Epithelioid_Carcinoma,Duct
A2780,,Ovarian,Cancer,
MDA-MB-231,epithelial,Breast_adenocarcinoma,Adenocarcinoma,Mammary gland
hippocampus,,Brain,,
PL45,epithelial,Pancreas_adenocarcinoma,Adenocarcinoma,Ductal
HCT116,,Colon,Carcinoma,"Colorectal, Large intestine"
