,Gene_ID,Gene_name,Transcript_ID,Transcript_name,Transcript_biotype
0,ENSG00000078369,GNB1,ENST00000610897,GNB1-201,protein_coding
1,ENSG00000078369,GNB1,ENST00000615252,GNB1-202,protein_coding
2,ENSG00000078369,GNB1,ENST00000378609,GNB1-001,protein_coding
3,ENSG00000078369,GNB1,ENST00000461893,GNB1-003,retained_intron
4,ENSG00000078369,GNB1,ENST00000471354,GNB1-002,retained_intron
5,ENSG00000078369,GNB1,ENST00000439272,GNB1-005,protein_coding
6,ENSG00000078369,GNB1,ENST00000434686,GNB1-007,protein_coding
7,ENSG00000078369,GNB1,ENST00000437146,GNB1-006,protein_coding
8,ENSG00000078369,GNB1,ENST00000607589,GNB1-009,retained_intron
9,ENSG00000078369,GNB1,ENST00000472614,GNB1-008,processed_transcript
10,ENSG00000157933,SKI,ENST00000378536,SKI-001,protein_coding
11,ENSG00000157933,SKI,ENST00000508416,SKI-004,processed_transcript
12,ENSG00000157933,SKI,ENST00000478223,SKI-002,processed_transcript
13,ENSG00000157933,SKI,ENST00000507179,SKI-005,retained_intron
14,ENSG00000157873,TNFRSF14,ENST00000426449,TNFRSF14-011,protein_coding
15,ENSG00000157873,TNFRSF14,ENST00000434817,TNFRSF14-008,protein_coding
16,ENSG00000157873,TNFRSF14,ENST00000435221,TNFRSF14-007,protein_coding
17,ENSG00000157873,TNFRSF14,ENST00000451778,TNFRSF14-006,protein_coding
18,ENSG00000157873,TNFRSF14,ENST00000409119,TNFRSF14-009,protein_coding
19,ENSG00000157873,TNFRSF14,ENST00000355716,TNFRSF14-001,protein_coding
20,ENSG00000157873,TNFRSF14,ENST00000475523,TNFRSF14-002,retained_intron
21,ENSG00000157873,TNFRSF14,ENST00000442392,TNFRSF14-013,processed_transcript
22,ENSG00000157873,TNFRSF14,ENST00000482074,TNFRSF14-012,retained_intron
23,ENSG00000157873,TNFRSF14,ENST00000496064,TNFRSF14-016,retained_intron
24,ENSG00000157873,TNFRSF14,ENST00000463471,TNFRSF14-015,retained_intron
25,ENSG00000157873,TNFRSF14,ENST00000466750,TNFRSF14-003,retained_intron
26,ENSG00000157873,TNFRSF14,ENST00000471768,TNFRSF14-010,retained_intron
27,ENSG00000157873,TNFRSF14,ENST00000463835,TNFRSF14-005,retained_intron
28,ENSG00000157873,TNFRSF14,ENST00000482602,TNFRSF14-004,protein_coding
29,ENSG00000157873,TNFRSF14,ENST00000480305,TNFRSF14-014,processed_transcript
30,ENSG00000142611,PRDM16,ENST00000511072,PRDM16-007,protein_coding
31,ENSG00000142611,PRDM16,ENST00000607632,PRDM16-010,retained_intron
32,ENSG00000142611,PRDM16,ENST00000378391,PRDM16-003,protein_coding
